Country,Brand,Model,Storage Variant,Color1,Color2,Color3,Color4,Color5,Color6,Color7,Color8,Color9,Color10,Color11
DK,Apple,i14,512 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
DK,Apple,i14 Plus,128 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
DK,Apple,i14 Plus,256 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
DK,Apple,i14 Plus,512 GB,(PRODUCT) Red,Blue,Midnight,Polaris,Purple,Red,Starburst,Violet,Yellow,,
DK,Apple,i14 Pro,1 TB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro,128 GB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro,256 GB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro,512 GB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro Max,1 TB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro Max,128 GB,Black,Deep Purple,Gold,Silver,,,,,,,
DK,Apple,i14 Pro Max,256 GB,Black,Deep Purple,Gold,Silver,,,,,,,
